,0
dummy,-2245423.141299286
bedrooms,-168405.26840221646
bathrooms,-514625.0596930369
sqft_living,-414789.87848963554
sqft_lot,-19894.320691047098
floors,-475376.7027539594
waterfront,-16527.74741198118
view,-135662.4131901157
condition,-1353029.0758570998
grade,-934016.5806064883
sqft_above,-387585.9975907019
sqft_basement,-241983.28076333352
yr_built,-1415395.0175537907
yr_renovated,-87059.628552223
zipcode,-883416.3063468547
lat,-1480990.2917444666
long,-568496.875823525
sqft_living15,-622697.6760483586
sqft_lot15,-31503.023114541793
month,-1145194.8036447112
day,-1132605.69144282
year,-722939.618157029
