,0
dummy,-7.910587275478203e+38
bedrooms,-5.932899086559722e+37
bathrooms,-1.8130215842960355e+38
sqft_living,-1.4613060375725547e+38
sqft_lot,-7.008765088045708e+36
floors,-1.674748915183191e+38
waterfront,-5.822977445607489e+36
view,-4.779456266441516e+37
condition,-4.766700176511601e+38
grade,-3.2905354424863125e+38
sqft_above,-1.3654663098330841e+38
sqft_basement,-8.5250901000287e+37
yr_built,-4.986410189760392e+38
yr_renovated,-3.067121692537762e+37
zipcode,-3.112259000435179e+38
lat,-5.2175117143190984e+38
long,-2.0028041904726117e+38
sqft_living15,-2.1937620932050687e+38
sqft_lot15,-1.1098494185749007e+37
month,-4.0345010231796646e+38
day,-3.990148808735822e+38
year,-2.5469040071399365e+38
