,0
dummy,-703524239711059.8
bedrooms,-52763950055749.25
bathrooms,-161240194595962.94
sqft_living,-129960543163599.92
sqft_lot,-6233211211970.61
floors,-148942981882187.66
waterfront,-5178636727664.013
view,-42505862320697.19
condition,-423924166541469.44
grade,-292642172419479.56
sqft_above,-121437083495559.6
sqft_basement,-75817475014768.58
yr_built,-443463969925887.7
yr_renovated,-27277297900729.23
zipcode,-276787243579697.5
lat,-464016871841443.44
long,-178118418559957.5
sqft_living15,-195101166952222.66
sqft_lot15,-9870391934307.217
month,-358806390210933.0
day,-354861947570910.2
year,-226507671704289.3
